date,ticker,open,high,low,close,vwap,volume,turnover,status
20220106,000688.SH,1327.6967,1331.4326,1309.8973,1320.935,1320.935,7953740.0,45491782.4,000688.SH
20220105,000688.SH,1364.0143,1365.7661,1328.2901,1333.3348,1333.3348,9000497.0,51248062.399,000688.SH
20220104,000688.SH,1403.3937,1405.5148,1361.4322,1364.9894,1364.9894,9302562.0,53289175.337,000688.SH
20211231,000688.SH,1384.2783,1399.7538,1383.8355,1398.1941,1398.1941,7840208.0,46438686.183,000688.SH
20211230,000688.SH,1355.9678,1381.4354,1355.4075,1375.5602,1375.5602,7816841.0,44883693.416,000688.SH
20211229,000688.SH,1370.4936,1370.4936,1351.9984,1356.2141,1356.2141,6304036.0,36993070.189,000688.SH
20211228,000688.SH,1355.6539,1370.3113,1355.6539,1369.6193,1369.6193,6636276.0,38673312.16,000688.SH
20211227,000688.SH,1356.4098,1369.2119,1349.1108,1355.6358,1355.6358,6350202.0,37254102.355,000688.SH
20211224,000688.SH,1375.1782,1378.2987,1353.6535,1358.7302,1358.7302,7635981.0,43953080.972,000688.SH
20211223,000688.SH,1375.8297,1380.147,1366.9899,1375.9682,1375.9682,7016695.0,39277392.722,000688.SH
20211222,000688.SH,1378.3107,1386.2428,1373.5253,1375.0299,1375.0299,7598660.0,41126794.178,000688.SH
20211221,000688.SH,1366.2729,1378.4886,1363.9685,1374.6495,1374.6495,6785367.0,39417534.188,000688.SH
20211220,000688.SH,1389.1787,1401.3367,1363.1149,1363.9562,1363.9562,7751401.0,49468157.664,000688.SH
20211217,000688.SH,1426.7922,1430.3917,1395.6431,1399.0594,1399.0594,8054162.0,47203642.608,000688.SH
20211216,000688.SH,1425.5285,1436.0615,1419.7022,1425.9289,1425.9289,7414006.0,45586156.575,000688.SH
20211215,000688.SH,1439.116,1443.5514,1424.769,1424.8995,1424.8995,8234987.0,52994807.111,000688.SH
20211214,000688.SH,1445.0515,1451.6787,1435.8854,1439.4694,1439.4694,7914952.0,46923829.789,000688.SH
20211213,000688.SH,1439.1869,1450.8272,1434.1481,1445.7068,1445.7068,8536485.0,52692244.311,000688.SH
20211210,000688.SH,1431.848,1442.6215,1424.9966,1435.7028,1435.7028,10303018.0,65177424.558,000688.SH
20211209,000688.SH,1417.3439,1438.4892,1410.1452,1434.5223,1434.5223,8145978.0,50724633.789,000688.SH
20211208,000688.SH,1394.9886,1416.6852,1394.9886,1415.3738,1415.3738,7151266.0,43464660.479,000688.SH
20211207,000688.SH,1412.997,1415.0539,1380.5106,1389.437,1389.437,8730994.0,49753478.346,000688.SH
20211206,000688.SH,1444.9333,1445.1648,1405.5084,1405.7709,1405.7709,9235243.0,52675883.724,000688.SH
20211203,000688.SH,1432.2287,1444.9906,1431.5923,1444.8339,1444.8339,8489747.0,49199143.832,000688.SH
20211202,000688.SH,1454.7395,1458.0848,1427.9764,1429.5001,1429.5001,9043364.0,53134454.513,000688.SH
20211201,000688.SH,1473.5206,1479.0866,1452.7528,1456.4829,1456.4829,8961384.0,57971666.77,000688.SH
20211130,000688.SH,1477.8041,1479.926,1463.1472,1475.7129,1475.7129,10256269.0,61559709.266,000688.SH
20211129,000688.SH,1448.4979,1474.4443,1444.3016,1471.2291,1471.2291,10436432.0,65692939.858,000688.SH
20211126,000688.SH,1466.3632,1470.5331,1450.9315,1459.9317,1459.9317,9106979.0,55082466.66,000688.SH
20211125,000688.SH,1472.6356,1477.7368,1465.6396,1468.072,1468.072,9806109.0,55635892.746,000688.SH
20211124,000688.SH,1477.9611,1489.7134,1471.6161,1472.2247,1472.2247,10066693.0,59766566.189,000688.SH
